TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE
미 비포 유,2016-06-01,939658,0.2063
평행이론,2010-02-18,937029,0.04
어스,2019-03-27,936431,-0.0227
뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,929985,0.2092
애나벨,2014-10-02,925813,-0.184
슈퍼배드 2,2013-09-12,925108,0.1027
매그니피센트 7,2016-09-14,921317,0.1247
갓 오브 이집트,2016-03-03,918678,0.2362
주먹왕 랄프,2012-12-19,918183,0.2632
투어리스트,2010-12-09,915359,0.4032
썬더와 마법저택,2013-12-24,904145,0.2626
월요일이 사라졌다,2018-02-22,903175,-0.004
점쟁이들,2012-10-03,900054,0.1233
인랑,2018-07-25,897548,-0.0129
타이탄의 분노,2012-03-29,893027,0.0
그것,2017-09-06,888386,-0.0147
몬스터 호텔,2013-01-17,884885,0.1492
메가마인드,2011-01-13,875481,0.102
극장판 헬로카봇 : 백악기 시대,2018-08-01,874967,0.2
디스 민즈 워,2012-02-29,873396,0.1379
스카이 라인,2010-11-24,873079,0.0033
고死 두 번째 이야기: 교생실습,2010-07-28,872594,-0.0115
열한시,2013-11-28,870785,0.0223
몬스터 대학교,2013-09-12,870065,0.1176
개구쟁이 스머프 2,2013-08-01,869805,0.1803
미확인 동영상 : 절대클릭금지,2012-05-30,867386,0.0053
오리엔트 특급 살인,2017-11-29,864757,0.0637
레전드 오브 타잔,2016-06-29,858402,
살인의뢰,2015-03-12,855980,-0.0888
헝거게임: 모킹제이,2014-11-20,854377,0.0387
좋아해줘,2016-02-17,848148,0.1796
만추,2011-02-17,844103,0.1079
대립군,2017-05-31,837500,0.0566
존 카터: 바숨 전쟁의 서막,2012-03-08,837426,0.0517
체포왕,2011-05-04,831804,0.0789
손님,2015-07-09,827918,-0.0193
인시디어스 3,2015-07-09,825517,0.0506
뽀로로 극장판 공룡섬 대모험,2017-12-07,824079,0.4783
남쪽으로 튀어,2013-02-06,821918,0.126
베이비 드라이버,2017-09-14,821419,0.1765
브리짓 존스의 베이비,2016-09-28,820995,0.1185
틴틴 : 유니콘호의 비밀,2011-12-07,814023,0.1317
하트 오브 더 씨,2015-12-03,809755,0.0
헝거게임: 더 파이널,2015-11-18,806709,
킹스 스피치,2011-03-17,806248,0.2079
하늘에서 음식이 내린다면 2,2013-11-21,800062,0.225
카트,2014-11-13,799275,0.0028
A-특공대,2010-06-10,791173,0.1402
화이트: 저주의 멜로디,2011-06-09,790954,-0.0364
상의원,2014-12-24,790158,0.0954
잭 리처,2013-01-17,784031,0.1212
관능의 법칙,2014-02-13,773996,0.1528
그랜드 부다페스트 호텔,2014-03-20,773649,0.2381
푸른소금,2011-08-31,771699,0.035
나는 왕이로소이다,2012-08-08,768971,0.0323
상류사회,2018-08-29,768442,-0.1985
레슬러,2018-05-09,765963,0.0179
토르: 마법망치의 전설,2012-02-09,765315,0.0738
레지던트 이블: 파멸의 날,2017-01-25,765259,-0.0018
공각기동대 : 고스트 인 더 쉘,2017-03-29,764072,0.0235
리오 2,2014-05-01,761404,0.075
스플릿,2016-11-09,757430,0.1679
"안녕, 헤이즐",2014-08-13,744387,0.1419
주유소 습격사건 2,2010-01-21,742475,0.0389
런던 해즈 폴른,2016-03-10,731551,0.1159
더 파이브,2013-11-14,731212,-0.0354
스파이더맨: 뉴 유니버스,2018-12-12,723450,0.275
물괴,2018-09-12,723414,-0.006
미쓰백,2018-10-11,720558,0.0714
신데렐라,2015-03-19,716386,0.1429
풍산개,2011-06-23,714102,0.0284
고질라,2014-05-15,709734,-0.0432
마음이2,2010-07-21,707748,0.0563
국가대표 2,2016-08-10,703024,0.05
내 깡패 같은 애인,2010-05-20,699973,0.2973
트랜센던스,2014-05-14,696412,0.055999999999999994
통증,2011-09-07,693101,0.045
인페르노,2016-10-19,689071,0.0396
