TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_CMT_LEN_MEAN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
신비한 동물사전,2016-11-16,11,4,46,132.0,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,1.0,331.0,41.604229607250794,12840.0,1.0,4666993
도가니,2011-09-22,9,3,38,125.0,한국,씨제이이앤엠(주),드라마,청소년관람불가,0.0,644.0,29.254658385093197,0.0,1.0,4662822
내 아내의 모든 것,2012-05-17,5,2,20,121.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0.0,128.0,26.46875,0.0,0.0,4598583
판도라,2016-12-07,12,4,49,135.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,0.0,732.0,49.699453551912605,8338.0,0.0,4571142
연가시,2012-07-05,7,3,27,109.0,한국,씨제이이앤엠(주),공포,15세이상관람가,0.0,1075.0,26.7255813953488,0.0,0.0,4513026
아이언맨 2,2010-04-29,4,2,17,125.0,미국,씨제이엔터테인먼트,SF,12세이상관람가,1.0,722.0,21.869806094182803,0.0,0.0,4498335
강철비,2017-12-14,12,4,50,139.0,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0.0,849.0,37.858657243816296,5965.0,0.0,4451336
해리포터와 죽음의 성물2,2011-07-13,7,3,28,131.0,미국,워너브러더스 코리아(주),판타지,전체관람가,,1746.0,23.5343642611684,0.0,1.0,4400298
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,5,2,21,134.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,1.0,692.0,45.1531791907514,4066.0,1.0,4313871
아가씨,2016-06-01,6,2,22,144.0,한국,씨제이이앤엠(주),스릴러,청소년관람불가,0.0,438.0,43.3698630136986,21671.0,1.0,4277071
어메이징 스파이더맨 2,2014-04-23,4,2,17,142.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1.0,693.0,37.3015873015873,3680.0,0.0,4168350
용의자,2013-12-24,12,4,52,137.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,931.0,32.890440386681,0.0,0.0,4131248
건축학개론,2012-03-22,3,1,12,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,0.0,567.0,22.329805996472697,0.0,0.0,4110645
