TITLE,DIRECTOR,OPEN_DT,OPEN_YEAR,OPEN_MONTH,OPEN_DAY,OPEN_WEEKDAY,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,GENRE_NM,SP_LANG,WATCH_GRADE_NM,ACTOR1,ACTOR2,BUDGET,SERIES,AWARDS,NAVER_CMT_NN,NAVER_PRE_EVAL,NAVER_PRE_EVAL_MUL,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
비틀즈: 하드 데이즈 나이트,리차드 레스터,2016-05-05,2016,5,5,3,2,18,88.0,영국,찬란,뮤지컬/코미디,,전체관람가,존 레논,폴 매카트니,,0.0,0,87.0,9.22,802.1400000000001,307.0,0.0,8149
낮잠 공주 : 모르는 나의 이야기,카미야마 켄지,2017-08-24,2017,8,24,3,3,34,111.0,일본,와이드 릴리즈(주),드라마/애니메이션/판타지,ja,전체관람가,타카하타 미츠키,미츠시마 신노스케,,0.0,0,108.0,9.42,1017.36,758.0,0.0,8145
28세 미성년,장모,2018-11-21,2018,11,21,2,4,47,104.0,중국,(주)드림팩트엔터테인먼트,로맨스/멜로/판타지,,15세이상관람가,왕대륙,니니,,0.0,0,91.0,7.82,711.62,1138.0,0.0,8141
도쿄의 밤하늘은 항상 가장 짙은 블루,이시이 유야,2019-02-14,2019,2,14,3,1,7,107.0,일본,(주)디오시네마,로맨스/멜로,ja,15세이상관람가,이케마츠 소스케,마츠다 류헤이,,0.0,0,41.0,7.49,307.0900000000001,133.0,0.0,8134
제3의 사랑,이재한,2016-05-19,2016,5,19,3,2,20,113.0,중국,(주)쇼박스,드라마/로맨스/멜로,,15세이상관람가,송승헌,유역비,,0.0,0,95.0,7.35,698.25,1788.0,1.0,8108
"패션, 위험한 열정",브라이언 드 팔마,2013-08-14,2013,8,14,2,3,33,101.0,독일/프랑스,판씨네마(주),스릴러,,청소년관람불가,레이첼 맥아담스,누미 라파스,,0.0,0,31.0,8.34,258.54,0.0,0.0,8098
윈터 슬립,누리 빌제 세일란,2015-05-07,2015,5,7,3,2,19,196.0,독일/터키/프랑스,㈜영화사 백두대간,드라마,en/tr,15세이상관람가,할룩 빌기너,멜리사 소젠,,0.0,1,45.0,8.24,370.8,220.0,0.0,8097
백트랙,마이클 페트로니,2016-01-21,2016,1,21,3,1,3,89.0,호주,(주)디스테이션,미스터리/스릴러,en,15세이상관람가,애드리언 브로디,샘 닐,,0.0,0,48.0,8.9,427.20000000000016,777.0,0.0,8078
원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,손석/정치영,2013-10-31,2013,10,31,3,4,44,92.0,한국,골든타이드픽처스(주),공연,,전체관람가,G-드래곤,,,0.0,0,216.0,9.27,2002.32,0.0,0.0,8038
어쿠스틱,유상헌,2010-10-28,2010,10,28,3,4,43,88.0,한국,(주)키노아이디엠씨,드라마,ko,12세이상관람가,신세경,임슬옹,,0.0,1,297.0,9.58,2845.26,0.0,0.0,8036
액트 오브 킬링,조슈아 오펜하이머,2014-11-20,2014,11,20,3,4,47,159.0,노르웨이/덴마크/영국,(주)엣나인필름,다큐멘터리,,15세이상관람가,,,,0.0,1,39.0,8.69,338.91,308.0,0.0,8031
유리의 꽃과 부수는 세계,이시하마 마사시,2016-04-21,2016,4,21,3,2,16,66.0,일본,주식회사 더쿱,애니메이션,ja,12세이상관람가,하나모리 유미리,타네다 리사,,0.0,0,26.0,8.35,217.1,260.0,0.0,8028
콜드플레이: 헤드 풀 오브 드림스,매트 화이트크로스,2018-12-28,2018,12,28,4,4,52,104.0,영국,에스디시코리아 주식회사,다큐멘터리,,12세이상관람가,,,,0.0,0,10.0,10.0,100.0,41.0,0.0,8017
원스 어폰 어 타임 인 베니스,롭 컬렌/마크 컬렌,2018-09-06,2018,9,6,3,3,36,93.0,미국,(주)브리즈픽처스/(주)영화사오원,스릴러/액션/코미디,,15세이상관람가,브루스 윌리스,제이슨 모모아,,0.0,0,22.0,8.09,177.98,107.0,0.0,8011
퍼스트 포지션,베스 카그맨,2012-10-25,2012,10,25,3,4,43,95.0,미국,골든타이드픽처스(주),다큐멘터리/드라마/코미디,,전체관람가,아란 벨,가야 봄메르 야미니,,0.0,0,68.0,9.53,648.04,0.0,0.0,7978
콜럼버스,코고나다,2018-04-19,2018,4,19,3,2,16,104.0,미국,(주)영화사오원,드라마/로맨스/멜로,en/ko,12세이상관람가,존 조,헤일리 루 리차드슨,,0.0,0,17.0,9.0,153.0,160.0,0.0,7977
에너미,드니 빌뇌브,2014-05-29,2014,5,29,3,2,22,90.0,스페인/캐나다,(주)영화사 진진,미스터리/스릴러,en,청소년관람불가,제이크 질렌할,멜라니 로랑,,0.0,1,31.0,8.23,255.13,200.0,1.0,7967
"의궤, 8일간의 축제 3D",최필곤,2014-04-17,2014,4,17,3,2,16,73.0,한국,KBS 미디어/케이비에스미디어(주),다큐멘터리,,전체관람가,여진구,방중현,,0.0,0,11.0,9.18,100.98,155.0,0.0,7956
멋진 악몽,미타니 코키,2012-04-19,2012,4,19,3,2,16,142.0,일본,주식회사 마운틴픽쳐스,드라마/코미디,,전체관람가,후카츠 에리,니시다 토시유키,,0.0,0,16.0,9.31,148.96,0.0,0.0,7936
꼬마기사 트랭크,안소니 파워,2016-06-16,2016,6,16,3,2,24,80.0,독일,(주)디스테이션,애니메이션,,전체관람가,,,,0.0,0,5.0,6.6,33.0,47.0,0.0,7930
