순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,원제,제작년도,원작도서유무,네이버기대지수,_merge
171.0,엑스맨아포칼립스,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-05-25,개봉영화,장편,미국,"1,262","24,467,887,950","2,938,818","7,495,864,450","847,621",액션,12세이상관람가,일반영화,X-Men: Apocalypse,2016.0,0.0,14705.0,both
212.0,엑스맨퍼스트클래스,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-06-02,개봉영화,장편,미국,587,"19,063,768,000","2,532,306","6,847,701,000","870,595",액션,12세이상관람가,일반영화,X-Men: First Class,2011.0,0.0,0.0,both
7186.0,엑스터시나이트,마이클 오블로위츠,,(주)마인스 엔터테인먼트,(주)마인스 엔터테인먼트,2014-08-14,개봉영화,장편,미국,1,"100,000",10,0,0,공포(호러),청소년관람불가,일반영화,Experiment Night,2014.0,0.0,26.0,both
1375.0,엑스페리먼트,폴 쉐어링,인페르노 디스트리뷰션,(주)새인컴퍼니,(주)새인컴퍼니,2010-08-11,개봉영화,장편,미국,110,"583,702,363","80,367","185,043,000","24,383",드라마,15세이상관람가,독립/예술영화,The Experiment,2010.0,1.0,0.0,both
581.0,엔더스게임,개빈 후드,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-12-31,개봉영화,장편,미국,460,"4,925,056,000","654,212","1,564,711,500","199,025",SF,12세이상관람가,일반영화,Ender's Game,2013.0,1.0,0.0,both
3414.0,엔드오브디어스,"데렉 리,클리프 프라우즈",,(주)콘텐츠판다,(주)콘텐츠판다,2015-01-29,개봉영화,장편,캐나다,32,"24,762,700","3,047","14,547,200","1,775",공포(호러),청소년관람불가,독립/예술영화,Afflicted (aka Ends of the Earth),2013.0,0.0,391.0,both
2491.0,엔드오브왓치,데이비드 에이어,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),(주)인벤트스톤,2012-12-06,개봉영화,장편,미국,54,"81,214,500","10,985","32,884,000","4,389",범죄,청소년관람불가,일반영화,End Of Watch,2012.0,0.0,0.0,both
6471.0,엔드오브왓치nypd,알렉스 매소네트,,주식회사 루믹스미디어,주식회사 루믹스미디어,2014-10-23,개봉영화,장편,미국,1,"250,000",50,"250,000",50,액션,청소년관람불가,일반영화,THE CURSE,2013.0,0.0,3.0,both
2046.0,엔들리스러브,샤나 페스트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-03-13,개봉영화,장편,미국,210,"165,237,000","22,091","70,357,900","9,238",드라마,15세이상관람가,일반영화,Endless Love,2014.0,0.0,19.0,both
4235.0,엔젤페이스,바네사 필류,,주식회사 디에스이이디,(주)트리플픽쳐스,2019-03-14,개봉영화,장편,프랑스,20,"8,392,400","1,066","6,687,600",780,드라마,15세이상관람가,독립/예술영화,ANGEL FACE,2018.0,0.0,43.0,both
4963.0,엔조이닷컴,백수호,영화사청춘 주식회사,,(주)라이크 콘텐츠,2016-04-28,개봉영화,장편,한국,20,"1,634,000",311,"569,000",113,멜로/로맨스,청소년관람불가,일반영화,,2016.0,0.0,109.0,both
2925.0,엔테베작전,호세 파딜라,,씨제이이앤엠(주),CGV아트하우스,2018-06-07,개봉영화,장편,미국,103,"46,996,200","5,874","20,719,300","2,568",범죄,12세이상관람가,독립/예술영화,7 Days in Entebbe,2018.0,0.0,45.0,both
6881.0,엔티티블레이드,페드링 로페즈,,주식회사 레드아이스,주식회사 레드아이스,2017-11-23,개봉영화,장편,필리핀,4,"45,000",17,"8,000",4,액션,청소년관람불가,독립/예술영화,Entity,2017.0,0.0,1.0,both
