TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC,CMT_SCORE
녹터널 애니멀스,2017-01-11,1,1,2,116.0,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,청소년관람불가,,51.0,395.0,1.0,34616,0.1868131868131868
신은 죽지 않았다 2,2016-04-07,4,2,14,120.0,미국,기타,드라마,12세이상관람가,1.0,66.0,388.0,0.0,34584,0.3921568627450979
파운더,2017-04-20,4,2,16,115.0,미국,CGV아트하우스,드라마,15세이상관람가,0.0,71.0,300.0,0.0,34517,0.2916666666666667
필로미나의 기적,2014-04-16,4,2,16,97.0,영국,씨네그루(주)다우기술,드라마,12세이상관람가,0.0,77.0,353.0,1.0,34501,0.4744744744744745
극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,1,1,4,66.0,프랑스,기타,애니메이션,전체관람가,,237.0,1104.0,0.0,34466,0.30327868852459017
"헤일, 시저!",2016-03-24,3,1,12,105.0,미국,유니버설픽쳐스인터내셔널 코리아(유),코미디,12세이상관람가,0.0,64.0,471.0,0.0,34295,0.34591194968553457
아이 엠 러브,2011-01-20,1,1,3,120.0,이탈리아,기타,드라마,청소년관람불가,0.0,2.0,0.0,0.0,34269,0.0
더 플랜,2017-04-20,4,2,16,102.0,한국,기타,다큐멘터리,15세이상관람가,0.0,3427.0,20349.0,0.0,34225,0.2327963651383725
7번째 내가 죽던 날,2017-05-31,5,2,22,98.0,미국,씨네그루(주)키다리이엔티,드라마,15세이상관람가,0.0,89.0,753.0,1.0,34184,0.3642611683848797
빅 웨딩,2013-06-27,6,2,26,87.0,미국,기타,멜로,청소년관람불가,,80.0,0.0,0.0,33993,0.39361702127659576
어메이징 메리,2017-10-04,10,4,40,101.0,미국,이십세기폭스코리아(주),드라마,12세이상관람가,0.0,276.0,2365.0,0.0,33901,0.4953886693017128
복숭아나무,2012-10-31,10,4,44,106.0,한국,(주)넥스트엔터테인먼트월드(NEW),멜로,15세이상관람가,0.0,311.0,0.0,0.0,33884,0.40384615384615385
"메밀꽃, 운수 좋은 날, 그리고 봄봄",2014-08-21,8,3,34,90.0,한국,기타,애니메이션,전체관람가,0.0,103.0,1618.0,0.0,33751,0.3731778425655977
페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,2019-03-21,3,1,12,117.0,일본,기타,애니메이션,15세이상관람가,,36.0,193.0,0.0,33656,0.06666666666666668
오직 사랑하는 이들만이 살아남는다,2014-01-09,1,1,2,123.0,영국,기타,드라마,15세이상관람가,0.0,179.0,0.0,0.0,33579,0.2411764705882353
마스터,2013-07-11,7,3,28,137.0,미국,기타,드라마,청소년관람불가,0.0,83.0,0.0,0.0,33505,0.4409221902017291
만신,2014-03-06,3,1,10,104.0,한국,기타,다큐멘터리,15세이상관람가,0.0,181.0,0.0,0.0,33481,0.4135514018691589
코난: 암흑의 시대,2012-04-05,4,2,14,112.0,미국,씨제이이앤엠(주),판타지,청소년관람불가,,129.0,0.0,1.0,33469,0.30414746543778803
리틀드래곤 코코넛,2015-07-02,7,3,27,82.0,독일,기타,애니메이션,전체관람가,,102.0,214.0,0.0,33464,0.3663366336633663
배틀 오브 비보이,2014-01-09,1,1,2,109.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),드라마,12세이상관람가,,42.0,0.0,0.0,33360,0.4204545454545455
무한대를 본 남자,2016-11-03,11,4,44,108.0,영국,판씨네마(주),드라마,12세이상관람가,,36.0,460.0,1.0,33188,0.3
"땡큐, 대디",2015-04-23,4,2,17,89.0,프랑스,기타,드라마,전체관람가,0.0,115.0,731.0,1.0,33036,0.4836272040302267
