MOVIE_NM,OPEN_DT,GENRE_NM,SP_LANG,GENRE_NM_sorted,SP_LANG_sorted
경계의저편illbehere과거편,2015-10-22,애니메이션/판타지/액션/멜로/로맨스,,로맨스/멜로/애니메이션/액션/판타지,
포세이돈,2014-09-18,SF/액션,,SF/액션,
오스카그랜트의어떤하루,2014-01-16,드라마,,드라마,
레드라인,2011-05-12,애니메이션,,애니메이션,
순천,2014-09-04,다큐멘터리,ko,다큐멘터리,ko
천하칠검양가장,2013-05-02,드라마/액션/어드벤처,,드라마/액션/어드벤처,
수성못,2018-04-19,드라마/코미디,ko,드라마/코미디,ko
가자장미여관으로2갈증,2014-04-10,멜로/로맨스,ko,로맨스/멜로,ko
남극의쉐프,2010-02-11,코미디/드라마,ja,드라마/코미디,ja
핀두스이야기,2017-11-30,애니메이션/코미디/가족,,가족/애니메이션/코미디,
힘내세요병헌씨,2013-06-27,코미디/드라마,ko,드라마/코미디,ko
라트라비아타,2013-07-06,공연,,공연,
로봇,2012-04-19,SF/코미디/액션,,SF/액션/코미디,
오페라카르멘메트로폴리탄,2010-04-04,뮤지컬/공연,,공연/뮤지컬,
까미유끌로델,2013-10-24,드라마,fr,드라마,fr
