,?MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
314,쥬만지새로운세계,2018-01-03,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
315,쎄시봉,2015-02-05,한국,씨제이이앤엠(주)
316,토르천둥의신,2011-04-28,미국,씨제이이앤엠(주)
317,콩스컬아일랜드,2017-03-08,미국,워너브러더스 코리아(주)
318,피끓는청춘,2014-01-22,한국,롯데쇼핑㈜롯데엔터테인먼트
319,23아이덴티티,2017-02-22,미국,유니버설픽쳐스인터내셔널 코리아(유)
320,pmc더벙커,2018-12-26,한국,씨제이이앤엠(주)
321,마다가스카의펭귄,2014-12-31,미국,씨제이이앤엠(주)
322,아이스에이지4대륙이동설,2012-07-25,미국,이십세기폭스코리아(주)
323,공모자들,2012-08-29,한국,씨너스엔터테인먼트(주)/타임스토리그룹(주)
324,그대를사랑합니다,2011-02-17,한국,(주)넥스트엔터테인먼트월드(NEW)
325,임금님의사건수첩,2017-04-26,한국,씨제이이앤엠(주)
326,마다가스카3이번엔서커스다,2012-06-06,미국,씨제이이앤엠(주)
327,블랙스완,2011-02-24,미국,이십세기폭스코리아(주)
328,분노의질주언리미티드,2011-04-20,미국,유니버설픽쳐스인터내셔널 코리아(유)
329,우아한거짓말,2014-03-13,한국,CGV아트하우스
330,하울링,2012-02-16,한국,씨제이이앤엠(주)
331,두근두근내인생,2014-09-03,한국,씨제이이앤엠(주)
332,걸캅스,2019-05-09,한국,씨제이이앤엠(주)
333,스타트렉다크니스,2013-05-30,미국,씨제이이앤엠(주)
334,창궐,2018-10-25,한국,(주)넥스트엔터테인먼트월드(NEW)
335,로빈후드,2010-05-13,미국,유니버설픽쳐스인터내셔널 코리아(유)
336,더폰,2015-10-22,한국,(주)넥스트엔터테인먼트월드(NEW)
337,성난황소,2018-11-22,한국,(주)쇼박스
338,300제국의부활,2014-03-06,미국,워너브러더스 코리아(주)
339,라이프오브파이,2013-01-01,미국,이십세기폭스코리아(주)/주식회사 해리슨앤컴퍼니
340,무적자,2010-09-16,일본/태국/한국/홍콩,씨제이엔터테인먼트
341,위플래쉬,2015-03-12,미국,(주)쇼박스
342,범블비,2018-12-25,미국,롯데컬처웍스(주)롯데엔터테인먼트
343,용의자x,2012-10-18,한국,씨제이이앤엠(주)
344,도어락,2018-12-05,한국,메가박스중앙(주)플러스엠
345,오블리비언,2013-04-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
346,몬스터호텔2,2015-12-24,미국,유니버설픽쳐스인터내셔널 코리아(유)
347,엑소더스신들과왕들,2014-12-03,미국/스페인/영국,이십세기폭스코리아(주)
348,퍼펙트게임,2011-12-21,한국,롯데쇼핑㈜롯데엔터테인먼트
349,드래곤길들이기3,2019-01-30,미국,유니버설픽쳐스인터내셔널 코리아(유)
350,리틀포레스트,2018-02-28,한국,메가박스중앙(주)플러스엠
351,인디펜던스데이리써전스,2016-06-22,미국,이십세기폭스코리아(주)
352,토이스토리3,2010-08-05,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
353,차이나타운,2015-04-29,한국,CGV아트하우스
354,스윙키즈,2018-12-19,한국,(주)넥스트엔터테인먼트월드(NEW)
355,부라더,2017-11-02,한국,메가박스중앙(주)플러스엠
356,해무,2014-08-13,한국,(주)넥스트엔터테인먼트월드(NEW)
357,브레이킹던part1,2011-11-30,미국,(주)넥스트엔터테인먼트월드(NEW)
358,새미의어드벤쳐2,2012-08-01,벨기에,씨제이이앤엠(주)
359,위대한개츠비,2013-05-16,미국/호주,워너브러더스 코리아(주)
360,인간중독,2014-05-14,한국,(주)넥스트엔터테인먼트월드(NEW)
361,다이하드굿데이투다이,2013-02-06,미국,이십세기폭스코리아(주)
362,나의특별한형제,2019-05-01,한국,(주)넥스트엔터테인먼트월드(NEW)
363,탐정홍길동사라진마을,2016-05-04,한국,씨제이이앤엠(주)
364,런닝맨,2013-04-04,미국/한국,이십세기폭스코리아(주)
365,구르믈버서난달처럼,2010-04-28,한국,에스케이텔레콤(주)
366,위대한쇼맨,2017-12-20,미국,이십세기폭스코리아(주)
367,벤허,2016-09-14,미국,롯데쇼핑㈜롯데엔터테인먼트
368,말레피센트,2014-05-29,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
